Role,Company,Skills,Skill_Count,Demand_Level
Spry Methods Systems Engineer Enterprise Middleware [,Spry Methods,"System, Security, Docker",3,Low
Spry Methods Senior Enterprise Middleware Engineer [,Spry Methods,"System, Security, Docker",3,Low
CI&T Job 27120 Senior Kotlin Java Developer Brazil [,CI&T,"Developer, Docker, Code",3,Low
CI&T Job 27144 Mid Level Fullstack Developer Brazil [,CI&T,"Developer, Design, Jira",3,Low
Evolve Tech LLC Backend Developer [,Evolve Tech LLC,"Developer, Design, Front End",3,Low
CLEAR - Corporate Senior Software Engineer Java [,CLEAR - Corporate,"Software, Security, Code",3,Low
Callibrity Senior Java Software Developer [,Callibrity,"Developer, Software, Consulting",3,Low
Ping Identity Staff Software Engineer Java [,Ping Identity,"Software, Developer, Cloud",3,Low
Tech Solutions Inc. Software Engineer [,Tech Solutions Inc.,"Software, Code, Engineer",3,Low
Malt Staff Software Engineer [,Malt,"Software, Design, Technical",3,Low
GHX Software Manager Exchange [,GHX,"Software, Manager, Technical",3,Low
MeridianLink Full Stack Software Engineer III Angular Java [,MeridianLink,"Software, Design, Front-End",3,Low
Deposco Software Engineer Integrations [,Deposco,"Software, Design, SaaS",3,Low
capital.com Java Software Engineer [,capital.com,"Software, Design, Security",3,Low
New Relic Technical Support Engineer Java .Net [,New Relic,"Technical, Support, Happiness",3,Low
Netomi Intern Software Development [,Netomi,"Software, Design, Technical",3,Low
Adyen Software Engineer II Merchant Operational Excellence [,Adyen,"Software, Technical, Support",3,Low
Integral Ad Science Staff Software Engineer Java [,Integral Ad Science,"Software, Code, Cloud",3,Low
Revinate Director Data Engineering [,Revinate,"Director, Design, HR",3,Low
CI&T Job 25701 Mid Level Automation QA Brazil [,CI&T,"Software, Quality Assurance",2,Low
3Pillar Senior Data Engineer [,3Pillar,"Python, Software, Growth",3,Low
Acquia Senior Software Engineer [,Acquia,"Software, System, Support",3,Low
CertiK Solidity Compiler Frontend Engineer [,CertiK,"Solidity, Front End, Ethereum",3,Low
Celonis Software Engineer [,Celonis,"Software, SaaS, Support",3,Low
Culligan Quench Salesforce Full Stack Developer [,Culligan Quench,"Salesforce, Developer, Design",3,Low
Camunda Senior Software Engineer Backend [,Camunda,"Software, Design, SaaS",3,Low
Netomi SDE I Backend [,Netomi,"Design, SaaS, Amazon",3,Low
3Pillar Technical Lead Java & Angular [,3Pillar,"Technical, Software, Growth",3,Low
CI&T Job 24033 Software Architect Brazil [,CI&T,"Architect, Software, React",3,Low
CI&T Job 23962 Mid Senior Observability Engineer Colombia [,CI&T,"System, Developer, Software",3,Low
CI&T Job 23962 Mid Senior Observability Engineer Brazil [,CI&T,"System, Support, Developer",3,Low
Vonage Strategic Business Development Consultant [,Vonage,"Consultant, Design, Growth",3,Low
Paragon Product Marketing Lead [,Paragon,"SaaS, Technical, Developer",3,Low
SKELAR Senior Tech Lead Mobile Developer Risora [,SKELAR,"Developer, Swift, Full-Stack",3,Low
Amigo Applied AI Engineer Europe [,Amigo,"System, Python, Technical",3,Low
Vonage Healthcare Account Executive [,Vonage,"Software, Growth, Cloud",3,Low
Capnexus Senior Data Engineer [,Capnexus,"Amazon, System, Software",3,Low
Highspot Senior Solution Consultant [,Highspot,"Consultant, Salesforce, InfoSec",3,Low
Calendly Engineering Manager [,Calendly,"Manager, Technical, Software",3,Low
540 Test Automation Engineer [,540,"Test, Design, System",3,Low
Agoda Principal Specialist Counsel Financial Crime & Compliance [,Agoda,"Travel, Financial, Management",3,Low
Agoda Privacy Principal Counsel [,Agoda,"Support, Travel, Financial",3,Low
Smartsheet Solutions Architect [,Smartsheet,"Architect, Technical, Testing",3,Low
Coderio Senior Backend Engineer MS050KA [,Coderio,"Serverless, Node. JS, Senior",3,Low
Ivanti Senior Software Engineer C++ Windows SDK WIN32 API [,Ivanti,"Software, Design, SaaS",3,Low
OpenRouter Product Designer [,OpenRouter,"Design, Front End, Designer",3,Low
Copia Automation Lead Security Engineer [,Copia Automation,"Security, Design, SaaS",3,Low
High Tech Genesis Purview Consultant [,High Tech Genesis,"Consultant, Design, Security",3,Low
Veda Tech Labs Smart Contract Engineer SVM [,Veda Tech Labs,"Defi, Front-End, Security",3,Low
HighLevel Customer Support Specialist [,HighLevel,"Technical, Support, Manager",3,Low
Alpaca Lead Product Designer [,Alpaca,"Design, Crypto, Designer",3,Low
Marathon Talent CFO [,Marathon Talent,"Cfo, Support, Software",3,Low
Exodus Movement Inc. Security Engineer [,Exodus Movement Inc.,"Security, Design, Engineer",3,Low
Alpaca Product Operations Lead [,Alpaca,"Design, Crypto, Security",3,Low
Tether Operations Limited AI Product Manager [,Tether Operations Limited,"Manager, Design, SaaS",3,Low
Alpaca Sales Enablement Analyst Broker API [,Alpaca,"Analyst, Crypto, Training",3,Low
Coin Market Cap Ltd Business Development Manager 3 months renewable [,Coin Market Cap Ltd,"Manager, Crypto, Cryptocurrency",3,Low
Alpaca Senior Software Engineer Prime [,Alpaca,"Software, Crypto, System",3,Low
Nansen.ai Senior Security Engineer [,Nansen.ai,"Security, Design, Support",3,Low
Lavendo Technical Product Manager [,Lavendo,"Manager, System, Technical",3,Low
Mex Digital FZE QA Engineer [,Mex Digital FZE,"Cryptocurrency, Technical, Developer",3,Low
CI&T Job 27602 Mid level Developer NodeJS Brazil [,CI&T,"Developer, JavaScript, Node JS",3,Low
dv01 Backend Engineer [,dv01,"SaaS, Financial, Investment",3,Low
3Pillar Senior Software Engineer Angular .net [,3Pillar,"Software, Design, Salesforce",3,Low
fastino.ai AI Engineer [,fastino.ai,"Docker, Ceo, Developer",3,Low
Smartbug Media HubSpot Solutions Architect [,Smartbug Media,"Architect, Design, Salesforce",3,Low
"Deep Fission, Inc Nuclear Engineer III Nuclear Safety Analysis [","Deep Fission, Inc","Support, Growth, Engineering",3,Low
